wals_code,31A,118A,30A,119A,29A,85A,28A,32A,83A,86A,40A,39A,10A,47A,73A,121A,18A,21A,84A,57A,89A,9A,90A,63A,61A,66A,79A,42A,99A,44A,87A,13A,125A,111A,50A,69A,51A,98A,127A,54A,94A,122A,7A,88A,93A,62A,26A,129A,33A,80A,48A,49A,53A,55A,6A,123A,104A,25A,27A,65A,109A,46A,117A,100A,
mao,1,3,1,1,1,2,1,1,2,2,1,5,2,2,2,3,1,1,1,4,2,1,1,2,,1,4,1,2,6,2,1,3,2,1,5,9,2,1,3,1,4,1,6,2,6,1,1,7,1,2,1,4,,1,4,1,2,1,2,8,4,2,1,
far,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,
gil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,
tkm,,,,,,1,,,1,1,,,,,,,,,,,1,2,2,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,,4,,,,,,1,,,4,,,
psh,2,,2,,,1,,3,1,1,,,,,,,1,,,4,1,2,1,,,,3,,,,1,1,,2,3,2,1,,,2,1,,1,1,2,,2,,2,1,,3,6,,3,,,,1,,,1,,,
mgl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chc,,2,,2,,1,,,1,1,,,,,1,,,,,4,1,3,2,,,,,,,,1,,,,,2,1,,,,,,,1,2,,2,,2,,,,,1,,,,,,,,,2,,
mnx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oya,,,,,,,,,1,,,,,1,,,,,,,3,,4,,,,,,,,,,,,,2,1,,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,
zaz,,2,,2,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,1,2,,,,,,,,6,,,,,,,,,3,,,
khm,1,1,1,1,1,2,1,1,2,2,1,3,2,1,2,2,1,,,4,2,2,1,1,,4,4,,1,6,2,1,,2,1,5,9,1,,,1,4,3,2,2,,1,1,7,1,2,1,4,2,1,4,1,,1,2,,4,3,1,
pnn,,,,,,2,,,2,2,,,,,2,,,,,,1,,,,,4,,2,,,3,,,,,,,,,7,1,,,,1,,,2,,,,,,,,,,,1,1,,,,,
ksu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,
hak,,,,,,,,,2,,,,,,,,1,,2,,1,,2,,,,,,,,,3,,,,2,,,,,,,1,1,2,,,,,,,,,,1,,,,,,,,,,
kop,,,,,,1,,,1,1,,,,,,,,,,2,1,,,,,,,,,,1,,,,,2,1,,,,,,,,,,2,,2,,,,,,,,,,,,,1,,,
udm,,,,,,1,,,1,1,,,,,2,1,,,,2,1,,,,,2,,,,,1,,,,2,2,1,,,,2,,,1,,,2,,2,,,8,,,,,,,,2,,1,,,
lno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,
srd,,,,,,,,,2,,,,,,,,,,,,1,,1,,,,,,,,2,,,,,2,,,,,1,,,,,,2,,2,,,,4,,,,,,,,,,,,
mlt,2,2,2,2,,,,3,,,,,,1,,1,,,,,,3,,1,,1,4,1,,,,,,,,,,,,,,,,,,4,,,,1,,,6,,,,,,,1,,2,1,,
uyg,,,,,,,,,1,,,,,,,,,,,2,,2,2,,,2,,,,,1,,,,,2,1,,,4,,,,,,,2,,2,,,,4,,,,,,1,1,,,,,
aym,,,,,2,1,1,,1,1,4,4,,,1,1,1,1,,2,1,3,,,,,4,,3,6,1,1,,2,2,2,6,3,,,,,2,1,2,,2,1,2,1,3,6,3,,4,,5,3,1,,,,,5,
som,,3,,1,,4,,,1,3,,,,2,2,,1,,,2,1,3,1,1,,1,,3,,,2,2,1,,2,2,9,,1,,1,,1,4,2,,2,,2,,,3,4,,2,,,,1,2,,2,4,,
crn,,,,,,2,,,2,2,,,,,,,,,,4,1,,1,,,,,,,,2,,,,,2,9,,,,1,,,2,2,,2,2,2,,,,,,,,,,,,,,,,
gag,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,4,,,,,,8,,,,,,,,,,,,,,,,1,,,
ass,,,,,,,,,1,1,,,,,,,,,,,3,,,,,,,,,,1,,,,,2,1,,,2,,,,1,2,,2,,,,,,,3,,,,,1,,,1,,,
nav,,1,,1,3,1,1,,1,1,3,3,1,2,2,1,1,,4,1,1,3,3,2,,,4,1,,3,2,2,,1,1,1,9,1,,,1,,2,1,2,8,6,2,2,4,4,1,5,1,1,,3,,3,,,1,4,2,
ace,,1,,1,,2,,,3,2,,,,,,,,,6,4,1,,1,2,,,,1,,6,2,,1,2,,5,9,,1,,1,4,,2,3,,1,,9,,2,,,,,4,2,1,,,,1,3,4,
lin,3,,5,,,,,3,2,2,,,,,2,2,,,1,,,,,,,,,,,,2,,,,,,,,,,,4,,,2,,,,,,,,,,,3,,,,,3,,,,
krc,,,,,,1,,,1,1,,,,,,,,,,2,1,2,2,,,,,,,,1,,,,,2,1,,,,,4,,1,2,,2,2,2,,,,,,,4,,,,,,1,,,
lez,1,2,1,1,1,1,3,1,1,1,1,3,2,1,1,1,1,1,,4,1,3,2,1,4,1,3,3,4,6,1,1,3,2,6,2,1,4,2,2,4,4,2,1,2,1,2,1,2,1,2,8,4,1,4,4,1,2,3,1,8,1,2,1,
kmk,,,,,,1,,,1,1,,,,,2,,,,,2,,2,2,,,,,,,,1,,,2,,2,1,,,,,,,,2,,2,1,2,,,,4,,,,,,,,,,,,
haw,1,,1,,,2,,1,2,2,,,,,,,3,,,4,1,,1,,,4,,1,,,2,1,,2,,,9,,,3,1,,1,1,2,,1,1,7,,,,5,1,1,,,,1,1,,,,,
kin,,,,,,2,,,2,,,,,2,2,,,,1,,2,,,,,,,,,,2,,,2,1,1,7,,,,,4,,1,2,,,,,,,1,,,,,,,,,,,,,
cri,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,4,,2,
tng,,1,,1,,2,,,2,2,,,,,,,,,,4,2,,1,,,,,2,,,2,,,2,,5,9,,,3,1,,,2,2,,1,,7,,,,,2,,,,,1,,,,,,
kbl,,3,,1,,2,,,2,2,,,,,,1,,,1,,,,1,,,,,2,,,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1,,
shn,3,3,5,2,,2,,3,2,2,,,,2,2,2,,,,,2,,1,2,,,,,,,2,,,2,,1,,,,,1,,,2,2,,6,1,1,,,,6,,,,,,,,,,4,,
pap,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,5,,
tpi,,1,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,4,,,,,,,2,,,,,
lao,,1,,1,,2,,,2,2,,,,,,,,,,4,2,,1,,,4,,,,,2,,,,,5,9,,,,1,,,2,2,,1,2,9,,,,,,,,,,,2,,,,,
lak,2,,4,,2,1,2,2,1,,3,3,2,,,,1,,,,,3,,,,,,,1,6,1,1,,,2,,1,4,,2,,,2,,,1,,,,,2,8,,,4,,1,,,,8,1,,3,
wlf,,1,,1,,2,,,2,2,,,2,1,,2,1,,1,2,1,,1,2,,1,,,,,2,1,,,,5,9,,,,1,,1,2,1,,1,,6,,,,6,,1,,,,2,2,3,,,,
ava,,2,,2,,1,,,1,1,,,,,1,,1,,,,1,,,1,2,,,,,,1,1,,,,2,1,,,,,,2,1,2,1,2,,2,,,,4,1,4,,,,,,,,2,,
